wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q478595,Tan Son Nhat International Airport,airports,Point(106.652 10.8188),http://commons.wikimedia.org/wiki/Special:FilePath/Tan%20Son%20Nhat%20International%20Airport%20at%20night%20%2812088245464%29.jpg,Vietnam,https://en.wikipedia.org/wiki/Tan_Son_Nhat_International_Airport,338
Q192733,Sheremetyevo International Airport,airports,Point(37.414722222 55.972777777),http://commons.wikimedia.org/wiki/Special:FilePath/SVO%20aerial%20view%202024.jpg,Russia,https://en.wikipedia.org/wiki/Sheremetyevo_International_Airport,234
Q773330,Da Nang International Airport,airports,Point(108.199444444 16.043888888),http://commons.wikimedia.org/wiki/Special:FilePath/DAD%20new%20terminal%202012%2002.JPG,Vietnam,https://en.wikipedia.org/wiki/Da_Nang_International_Airport,232
Q25226,Cam Ranh International Airport,airports,Point(109.219444444 11.998055555),http://commons.wikimedia.org/wiki/Special:FilePath/Cam%20Ranh%20International%20Airport%20Terminal%202.jpg,Vietnam,https://en.wikipedia.org/wiki/Cam_Ranh_International_Airport,204
Q273462,Vnukovo International Airport,airports,Point(37.2675 55.596111111),http://commons.wikimedia.org/wiki/Special:FilePath/Vnukovo%20International%20Airport%202019.jpg,Russia,https://en.wikipedia.org/wiki/Vnukovo_International_Airport,183
Q46033,Frankfurt Airport,airports,Point(8.570455555 50.033305555),http://commons.wikimedia.org/wiki/Special:FilePath/FRA%20June2013.JPG,Germany,https://en.wikipedia.org/wiki/Frankfurt_Airport,178
Q186614,Domodedovo International Airport,airports,Point(37.906111111 55.408611111),http://commons.wikimedia.org/wiki/Special:FilePath/Domodedovo%20Airport.jpg,Russia,https://en.wikipedia.org/wiki/Moscow_Domodedovo_Airport,162
Q32159,Singapore Changi Airport,airports,Point(103.989444 1.359167),http://commons.wikimedia.org/wiki/Special:FilePath/Singapore%20Airport%2C%20Jewel%20Changi%2C%2020230722%20%281%29%20%2853337065497%29.jpg,Singapore,https://en.wikipedia.org/wiki/Changi_Airport,146
Q503364,Kempegowda International Airport,airports,Point(77.705555555 13.198888888),http://commons.wikimedia.org/wiki/Special:FilePath/Bengaluru-airport.jpg,India,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,144
Q204853,Tokyo International Airport,airports,Point(139.781111111 35.553333333),http://commons.wikimedia.org/wiki/Special:FilePath/Tokyo-International-Airport%20Satellite.jpg,Japan,https://en.wikipedia.org/wiki/Haneda_Airport,144
Q214861,Hartsfield–Jackson Atlanta International Airport,airports,Point(-84.428055555 33.636666666),http://commons.wikimedia.org/wiki/Special:FilePath/Atlanta%20Hartsfield-Jackson.jpg,United States,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,136
Q193682,Kansai International Airport,airports,Point(135.230277777 34.430555555),http://commons.wikimedia.org/wiki/Special:FilePath/%E9%96%A2%E8%A5%BF%E5%9B%BD%E9%9A%9B%E7%A9%BA%E6%B8%AF%E5%85%A8%E4%BD%93%E5%86%99%E7%9C%9F20220811.jpg,Japan,https://en.wikipedia.org/wiki/Kansai_International_Airport,136
Q8731,Los Angeles International Airport,airports,Point(-118.408056 33.9425),http://commons.wikimedia.org/wiki/Special:FilePath/LAX2.jpg,United States,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,136
Q500253,Kuala Lumpur International Airport,airports,Point(101.709722 2.745556),http://commons.wikimedia.org/wiki/Special:FilePath/KLIA%20MTB%26Tower.jpg,Malaysia,https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,134
Q213717,O'Hare International Airport,airports,Point(-87.904722222 41.978611111),http://commons.wikimedia.org/wiki/Special:FilePath/O%27Hare%20International%20Airport%20%28USGS%29.png,United States,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,134
Q36454,Narita International Airport,airports,Point(140.38845 35.7649),http://commons.wikimedia.org/wiki/Special:FilePath/Narita%20International%20Air%20Port%20%28cropped%29.jpg,Japan,https://en.wikipedia.org/wiki/Narita_International_Airport,134
Q194316,Suvarnabhumi Airport,airports,Point(100.747222 13.681111),http://commons.wikimedia.org/wiki/Special:FilePath/Bangkok%20-%20Suvarnabhumi%20International%20%28BKK%20-%20VTBS%29%20AN1822384.jpg,Thailand,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport,132
Q821275,Indira Gandhi International Airport,airports,Point(77.0833 28.5574),http://commons.wikimedia.org/wiki/Special:FilePath/Delhi%20airport%20terminal%203%20%28cropped%29.jpg,India,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,128
Q17704,Hong Kong International Airport,airports,Point(113.914444 22.308889),http://commons.wikimedia.org/wiki/Special:FilePath/Hong%20Kong%20International%20Airport%20restricted%20area%2001-12-2024%289%29.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,128
Q36420,Shanghai Pudong International Airport,airports,Point(121.805278 31.143333),http://commons.wikimedia.org/wiki/Special:FilePath/Shanghai%20Pudong%20Airport%202024%20%28cropped%29.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,128
Q3661908,Istanbul Airport,airports,Point(28.742222222 41.260833333),http://commons.wikimedia.org/wiki/Special:FilePath/Istanbul%20asv2021-11%20img72%20IST%20Airport.jpg,Turkey,https://en.wikipedia.org/wiki/Istanbul_Airport,126
Q477677,Boryspil International Airport,airports,Point(30.893333333 50.344722222),http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D1%8D%D1%80%D0%BE%D0%BF%D1%80%D1%82%20%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%20%D1%81%D1%82%D0%BE%D1%8F%D0%BD%D0%BA%D0%B8%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BB%D0%B5%D1%82%D0%BE%D0%B2.%20%D0%A4%D0%BE%D1%82%D0%BE%20%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B0%20%D0%91%D0%B5%D0%BB%D0%BE%D1%83%D1%81%D0%BE%D0%B2%D0%B0%20-%20panoramio%20%281%29.jpg,Ukraine,https://en.wikipedia.org/wiki/Boryspil_International_Airport,120
Q278667,Rajiv Gandhi International Airport,airports,Point(78.4294 17.2386),http://commons.wikimedia.org/wiki/Special:FilePath/Indian%20Airlines%20VT-SCF%20at%20Rajiv%20Gandhi%20Airport%2C%20Jan%202012%20%28cropped%29.jpg,India,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,120
Q211734,"Athens International Airport ""Eleftherios Venizelos""",airports,Point(23.944444444 37.936388888),http://commons.wikimedia.org/wiki/Special:FilePath/Athens%20International%20Airport%20Eleftherios%20Venizelos%20%CE%94%CE%B9%CE%B5%CE%B8%CE%BD%CE%AE%CF%82%20%CE%91%CE%B5%CF%81%CE%BF%CE%BB%CE%B9%CE%BC%CE%AD%CE%BD%CE%B1%CF%82%20%CE%91%CE%B8%CE%B7%CE%BD%CF%8E%CE%BD%20%CE%95%CE%BB%CE%B5%CF%85%CE%B8%CE%AD%CF%81%CE%B9%CE%BF%CF%82%20%CE%92%CE%B5%CE%BD%CE%B9%CE%B6%CE%AD%CE%BB%CE%BF%CF%82%202019-12-01%20h.jpg,Greece,https://en.wikipedia.org/wiki/Athens_International_Airport,118
Q749497,Soekarno–Hatta International Airport,airports,Point(106.653833 -6.127361),http://commons.wikimedia.org/wiki/Special:FilePath/Soekarno-Hatta%20International%20Airport%20Terminal%203%20apron.jpg,Indonesia,https://en.wikipedia.org/wiki/Soekarno%E2%80%93Hatta_International_Airport,118
Q17581,Sydney Airport,airports,Point(151.1761111 -33.948333333),http://commons.wikimedia.org/wiki/Special:FilePath/Sydney%20airport%20-%20International%20terminal.jpg,Australia,https://en.wikipedia.org/wiki/Sydney_Airport,118
Q215327,Helsinki Airport,airports,Point(24.963333333 60.317222222),http://commons.wikimedia.org/wiki/Special:FilePath/Helsinki%20Airport%20%2817087444118%29.jpg,Finland,https://en.wikipedia.org/wiki/Helsinki_Airport,116
Q465071,Warsaw Chopin Airport,airports,Point(20.967222222 52.165833333),http://commons.wikimedia.org/wiki/Special:FilePath/Lotnisko%20Chopina%20w%20Warszawie%202018b.jpg,Poland,https://en.wikipedia.org/wiki/Warsaw_Chopin_Airport,114
Q242066,Toronto Pearson International Airport,airports,Point(-79.6306 43.6767),http://commons.wikimedia.org/wiki/Special:FilePath/YYZ%20Aerial%202.jpg,Canada,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,114
Q60910,"Milan–Malpensa ""Silvio Berlusconi"" Airport",airports,Point(8.723055555 45.63),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20photograph%20of%20Milan%20Malpensa%20airport.jpg,Italy,https://en.wikipedia.org/wiki/Milan_Malpensa_Airport,114
Q210559,Oslo Airport,airports,Point(11.083888888 60.202777777),http://commons.wikimedia.org/wiki/Special:FilePath/Oslo%20Airport%20terminal%20night%20view.jpg,Norway,"https://en.wikipedia.org/wiki/Oslo_Airport,_Gardermoen",112
