wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q76269,Oslo Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Fornebu%20opening.jpeg,Norway,"https://en.wikipedia.org/wiki/Oslo_Airport,_Fornebu",59.889722222,10.597777777
Q86446,Ninoy Aquino International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Ninoy%20Aquino%20International%20Airport%20aerial%20view.jpg,Philippines,https://en.wikipedia.org/wiki/Ninoy_Aquino_International_Airport,14.508611,121.019444
Q385406,São Paulo-Guarulhos International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/ViewfromAir-SaoPaulo.jpg,Brazil,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo/Guarulhos_International_Airport,-23.435555555,-46.473055555
Q580409,Bournemouth Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Bournemouth%20Airport%20control%20tower%20geograph.org.uk%20130727%201e343629-by-Pierre-Terre.jpg,United Kingdom,https://en.wikipedia.org/wiki/Bournemouth_Airport,50.78,-1.8425
Q581545,John Paul II International Airport Kraków-Balice,airports,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Paul%20II%20Airport%20in%20Balice-Krak%C3%B3w%20night%20november%202017%283%29.jpg,Poland,https://en.wikipedia.org/wiki/Krak%C3%B3w_John_Paul_II_International_Airport,50.077777777,19.784722222
Q583424,Hermanos Serdán International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Terminal%20AIP.JPG,Mexico,https://en.wikipedia.org/wiki/Puebla_International_Airport,19.158055555,-98.371388888
Q583587,"Bocas del Toro ""Isla Colón"" International Airport",airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aeropuerto%20de%20Bocas%20del%20Toro.jpg,Panama,https://en.wikipedia.org/wiki/Jos%C3%A9_Ezequiel_Hall_International_Airport,9.340833333,-82.250833333
Q584102,Shannon Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Ryanair%20EI-DAD%20Boeing%20737-800%20Shannon%20NEIN%20zum%20Lufthansa%20Kerosinzuschlag.jpg,Ireland,https://en.wikipedia.org/wiki/Shannon_Airport,52.701944444,-8.924722222
Q586065,Entebbe International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Fly540%20ATR42%20at%20Entebbe.jpg,Uganda,https://en.wikipedia.org/wiki/Entebbe_International_Airport,0.044722222,32.443055555
Q587675,El Salvador International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/San%20salvador%20airport%204.jpg,El Salvador,https://en.wikipedia.org/wiki/El_Salvador_International_Airport,13.443019444,-89.056447222
Q587801,Marechal Cunha Machado International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Slz.jpg,Brazil,https://en.wikipedia.org/wiki/Marechal_Cunha_Machado_International_Airport,-2.586944444,-44.236111111
Q588038,Ilopango International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/32-0001%20Aeropuerto%20de%20Ilopango.jpg,El Salvador,https://en.wikipedia.org/wiki/Ilopango_International_Airport,13.694572222,-89.117297222
Q589550,Mundo Maya International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aeropuerto%20Internacional%20Mundo%20Maya%20-%20Guatemala%203.jpg,Guatemala,https://en.wikipedia.org/wiki/Mundo_Maya_International_Airport,16.9138,-89.866383
Q591971,Bangor International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/BGRAcrossField.jpg,United States,https://en.wikipedia.org/wiki/Bangor_International_Airport,44.807222222,-68.828055555
Q592172,Cochin International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/AIX%20at%20COK.jpg,India,https://en.wikipedia.org/wiki/Cochin_International_Airport,10.15194444,76.40194444
Q592206,Alexandria International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Englandafb-mar83.jpg,United States,https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana),31.3275,-92.5486
Q597139,Reno–Tahoe International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/RNO%20-%20FAA%20airport%20diagram.gif,United States,https://en.wikipedia.org/wiki/Reno%E2%80%93Tahoe_International_Airport,39.499166666,-119.768055555
Q597308,Blaise Diagne International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Blaise%20Diagne1.jpg,Senegal,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,14.670833333,-17.068888888
Q597396,Bishop International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Bishop%20International%20Airport%20Air%20Traffic%20Control%20Tower.JPG,United States,https://en.wikipedia.org/wiki/Bishop_International_Airport,42.965555555,-83.743611111
Q919952,Presidente Carlos Ibáñez del Campo International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%A9roport%20Punta%20Arenas.jpg,Chile,https://en.wikipedia.org/wiki/Presidente_Carlos_Ib%C3%A1%C3%B1ez_del_Campo_International_Airport,-53.0025,-70.854444444
Q922954,Leoš Janáček Airport Ostrava,airports,http://commons.wikimedia.org/wiki/Special:FilePath/OSRintl.jpg,Czech Republic,https://en.wikipedia.org/wiki/Leo%C5%A1_Jan%C3%A1%C4%8Dek_Airport_Ostrava,49.696111111,18.110833333
Q924954,"Kalamata International Airport ""Captain Vasilis Konstantakopoulos""",airports,http://commons.wikimedia.org/wiki/Special:FilePath/Kalamata%20Airport.jpg,Greece,https://en.wikipedia.org/wiki/Kalamata_International_Airport,37.068383333,22.025636111
