wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q385356,Sri Guru Ram Dass Jee International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Amritsar%20Airport%20Entrance.jpg,India,https://en.wikipedia.org/wiki/Sri_Guru_Ram_Das_Ji_International_Airport,31.707777777,74.799166666
Q385406,São Paulo-Guarulhos International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/ViewfromAir-SaoPaulo.jpg,Brazil,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo/Guarulhos_International_Airport,-23.435555555,-46.473055555
Q580409,Bournemouth Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Bournemouth%20Airport%20control%20tower%20geograph.org.uk%20130727%201e343629-by-Pierre-Terre.jpg,United Kingdom,https://en.wikipedia.org/wiki/Bournemouth_Airport,50.78,-1.8425
Q581545,John Paul II International Airport Kraków-Balice,airports,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Paul%20II%20Airport%20in%20Balice-Krak%C3%B3w%20night%20november%202017%283%29.jpg,Poland,https://en.wikipedia.org/wiki/Krak%C3%B3w_John_Paul_II_International_Airport,50.077777777,19.784722222
Q583424,Hermanos Serdán International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Terminal%20AIP.JPG,Mexico,https://en.wikipedia.org/wiki/Puebla_International_Airport,19.158055555,-98.371388888
Q583587,"Bocas del Toro ""Isla Colón"" International Airport",airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aeropuerto%20de%20Bocas%20del%20Toro.jpg,Panama,https://en.wikipedia.org/wiki/Jos%C3%A9_Ezequiel_Hall_International_Airport,9.340833333,-82.250833333
Q584102,Shannon Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Ryanair%20EI-DAD%20Boeing%20737-800%20Shannon%20NEIN%20zum%20Lufthansa%20Kerosinzuschlag.jpg,Ireland,https://en.wikipedia.org/wiki/Shannon_Airport,52.701944444,-8.924722222
Q586065,Entebbe International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Fly540%20ATR42%20at%20Entebbe.jpg,Uganda,https://en.wikipedia.org/wiki/Entebbe_International_Airport,0.044722222,32.443055555
Q587675,El Salvador International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/San%20salvador%20airport%204.jpg,El Salvador,https://en.wikipedia.org/wiki/El_Salvador_International_Airport,13.443019444,-89.056447222
Q587801,Marechal Cunha Machado International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Slz.jpg,Brazil,https://en.wikipedia.org/wiki/Marechal_Cunha_Machado_International_Airport,-2.586944444,-44.236111111
Q588038,Ilopango International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/32-0001%20Aeropuerto%20de%20Ilopango.jpg,El Salvador,https://en.wikipedia.org/wiki/Ilopango_International_Airport,13.694572222,-89.117297222
Q589550,Mundo Maya International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aeropuerto%20Internacional%20Mundo%20Maya%20-%20Guatemala%203.jpg,Guatemala,https://en.wikipedia.org/wiki/Mundo_Maya_International_Airport,16.9138,-89.866383
Q591971,Bangor International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/BGRAcrossField.jpg,United States,https://en.wikipedia.org/wiki/Bangor_International_Airport,44.807222222,-68.828055555
Q592172,Cochin International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/AIX%20at%20COK.jpg,India,https://en.wikipedia.org/wiki/Cochin_International_Airport,10.15194444,76.40194444
Q592206,Alexandria International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Englandafb-mar83.jpg,United States,https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana),31.3275,-92.5486
Q597139,Reno–Tahoe International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/RNO%20-%20FAA%20airport%20diagram.gif,United States,https://en.wikipedia.org/wiki/Reno%E2%80%93Tahoe_International_Airport,39.499166666,-119.768055555
Q597308,Blaise Diagne International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Blaise%20Diagne1.jpg,Senegal,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,14.670833333,-17.068888888
Q597396,Bishop International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Bishop%20International%20Airport%20Air%20Traffic%20Control%20Tower.JPG,United States,https://en.wikipedia.org/wiki/Bishop_International_Airport,42.965555555,-83.743611111
Q721494,Queen Alia International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Alia%20International%20Airport%20-%20New%20Terminal%20-%202013.JPG,Jordan,https://en.wikipedia.org/wiki/Queen_Alia_International_Airport,31.7225,35.993333333
Q721497,Roberts International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Roberts%20International%20Airport.JPG,Liberia,https://en.wikipedia.org/wiki/Roberts_International_Airport,6.233889,-10.362222
Q721618,Tabriz International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Tabriz%20Airport.JPG,Iran,https://en.wikipedia.org/wiki/Tabriz_Shahid_Madani_International_Airport,38.133888888,46.235
Q915657,Bozeman Yellowstone International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/CRJ200%20at%20Bozeman%20Airport.jpg,United States,https://en.wikipedia.org/wiki/Bozeman_Yellowstone_International_Airport,45.7775,-111.151944444
Q919952,Presidente Carlos Ibáñez del Campo International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%A9roport%20Punta%20Arenas.jpg,Chile,https://en.wikipedia.org/wiki/Presidente_Carlos_Ib%C3%A1%C3%B1ez_del_Campo_International_Airport,-53.0025,-70.854444444
Q922954,Leoš Janáček Airport Ostrava,airports,http://commons.wikimedia.org/wiki/Special:FilePath/OSRintl.jpg,Czech Republic,https://en.wikipedia.org/wiki/Leo%C5%A1_Jan%C3%A1%C4%8Dek_Airport_Ostrava,49.696111111,18.110833333
Q924954,"Kalamata International Airport ""Captain Vasilis Konstantakopoulos""",airports,http://commons.wikimedia.org/wiki/Special:FilePath/Kalamata%20Airport.jpg,Greece,https://en.wikipedia.org/wiki/Kalamata_International_Airport,37.068383333,22.025636111
Q926029,Deputado Luís Eduardo Magalhães International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Fachada%20Aeroporto%20de%20Salvador2.jpg,Brazil,https://en.wikipedia.org/wiki/Salvador_Bahia_Airport,-12.90861,-38.3225
Q929859,Orlando International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Orlando%20International%20Airport%20terminal%20from%20arriving%20airplane.jpg,United States,https://en.wikipedia.org/wiki/Orlando_International_Airport,28.429444,-81.308889
Q930733,Toncontín International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/ToncontinTerminal.jpg,Honduras,https://en.wikipedia.org/wiki/Toncont%C3%ADn_International_Airport,14.061094444,-87.217588888
Q932025,Guadalajara-M. Hidalgo y Costilla,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Fachada%20del%20Aeropuerto%20de%20Guadalajara.jpg,Mexico,https://en.wikipedia.org/wiki/Guadalajara_International_Airport,20.521837,-103.311145
Q1547,Lyon–Saint-Exupéry Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20d%27une%20partie%20de%20l%27a%C3%A9roport%20de%20Lyon%20Saint-Exup%C3%A9ry%20et%20de%20la%20gare%20TGV%20%28septembre%202022%29.jpg,France,https://en.wikipedia.org/wiki/Lyon%E2%80%93Saint-Exup%C3%A9ry_Airport,45.725555555,5.081111111
Q8685,John F. Kennedy International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/JFK%20Aerial%20Nov%2014%202018.jpg,United States,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,40.64,-73.78
