wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude,description
Q33156,Kandahar International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Women%20from%20203rd%20Zone%20Afghan%20Border%20Police%20and%20TAAC-S%20attend%20shura%20at%20Kandahar%20Airfield%2C%20Afghanistan%20150809-N-SQ656-227.jpg,Afghanistan,https://en.wikipedia.org/wiki/Kandahar_International_Airport,31.507222222,65.850277777,"international airport serving Kandahar, Afghanistan"
Q613251,Band-e Amir National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Band-e-Amir.jpg,Afghanistan,https://en.wikipedia.org/wiki/Band-e_Amir_National_Park,34.839722222,67.230833333,national park in Afghanistan
Q715467,National Museum of Afghanistan,museums,http://commons.wikimedia.org/wiki/Special:FilePath/National%20museum%20of%20Afghanistan.jpg,Afghanistan,https://en.wikipedia.org/wiki/National_Museum_of_Afghanistan,34.4675,69.12,museum
Q686088,Llogara National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Llogara%20pass.jpg,Albania,https://en.wikipedia.org/wiki/Llogara_National_Park,40.21638889,19.57027778,national park in Albania
Q856285,Mes Bridge,bridges,http://commons.wikimedia.org/wiki/Special:FilePath/Mesi%20Bridge%202025.jpg,Albania,https://en.wikipedia.org/wiki/Mesi_Bridge,42.11448,19.574976,bridge and cultural heritage monument of Albania
Q279171,Skela Castle,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Kanina%20Castle%20and%20Vlora%20Square.jpg,Albania,https://en.wikipedia.org/wiki/Vlor%C3%AB_Castle,40.455,19.485277777,cultural heritage monument of Albania
Q25060,Oued Irara–Krim Belkacem Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/HassiMessaoudIntArrivals.jpg,Algeria,https://en.wikipedia.org/wiki/Oued_Irara%E2%80%93Krim_Belkacem_Airport,31.673889,6.140556,"airport serving Hassi Messaoud, Algeria"
Q598215,Biskra Mohamed Khider Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Biskra%20Airport.jpg,Algeria,https://en.wikipedia.org/wiki/Biskra_Airport,34.793361111,5.738305555,Airoports in Algeria
Q623452,Algiers Houari Boumediene Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aeroport%20Houari%20Boumediene%20IMG%201362.JPG,Algeria,https://en.wikipedia.org/wiki/Houari_Boumediene_Airport,36.694444444,3.216944444,"international airport serving Algiers, Algeria"
Q650992,El Kala National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/GM%20Parc%20national%20El%20Kala01.jpg,Algeria,https://en.wikipedia.org/wiki/El_Kala_National_Park,36.81666667,8.41666667,national park in Algeria
Q3561,Algiers,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Alger%20monochrome.jpg,Algeria,https://en.wikipedia.org/wiki/Algiers,36.776388888,3.058611111,capital city of Algeria
Q817274,Ksar Beni Isguen,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Ksar%20de%20Beni%20Isguen.jpg,Algeria,,32.475222222,3.696194444,"Historical ksar in the Mzab valley, in Bounoura, province of Ghardaia, Algeria"
Q1309531,Caesarea of Mauretania,landmarks,http://commons.wikimedia.org/wiki/Special:FilePath/Forum%20cherchell.JPG,Algeria,https://en.wikipedia.org/wiki/Caesarea_in_Mauretania,36.607284,2.186828,ancient city of Algeria
Q2429753,Roman Theatre of Thubursicum Numidarum,landmarks,http://commons.wikimedia.org/wiki/Special:FilePath/GM%20Khamissa%20Roman%20Theatre01.jpg,Algeria,,36.193686,7.655947,"ancient Roman theatre in Khamissa, Algeria"
Q613937,University of Ouargla,universities,http://commons.wikimedia.org/wiki/Special:FilePath/UKMO%20Rectorat.jpg,Algeria,https://en.wikipedia.org/wiki/University_of_Ouargla,31.963,5.34201,university in Algeria
Q1863,Andorra la Vella,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Andorra%20la%20Vella%20-%20view2.jpg,Andorra,https://en.wikipedia.org/wiki/Andorra_la_Vella,42.507222222,1.522222222,capital of Andorra
Q541858,Dr. Antonio Agostinho Neto International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Construction%20site%20Angola%20International%20Airport1.jpg,Angola,https://en.wikipedia.org/wiki/Dr._Ant%C3%B3nio_Agostinho_Neto_International_Airport,-9.050480555,13.499966666,"Airport in Luanda, Angola"
Q598002,Quatro de Fevereiro Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/1.Luanda%20Airport%20Aeroporto%204%20de%20Fevereiro%20LAD.jpg,Angola,https://en.wikipedia.org/wiki/Quatro_de_Fevereiro_Airport,-8.858083333,13.231194444,"international airport serving Luanda, Angola"
Q187918,Epupa Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Epupa%20Falls%20%28detail%29.jpg,Angola,https://en.wikipedia.org/wiki/Epupa_Falls,-17.0,13.25,waterfall on the Cunene River in Angola and Namibia
Q1348116,Mount Moco,natural,http://commons.wikimedia.org/wiki/Special:FilePath/Moco.JPG,Angola,https://en.wikipedia.org/wiki/Mount_Moco,-12.466666666,15.183333333,mountain in Angola
