wikidata_id,name,category,coordinates,image_url,country,wikipedia_url
Q76269,Oslo Airport,airports,Point(10.597777777 59.889722222),http://commons.wikimedia.org/wiki/Special:FilePath/Fornebu%20opening.jpeg,Norway,"https://en.wikipedia.org/wiki/Oslo_Airport,_Fornebu"
Q86446,Ninoy Aquino International Airport,airports,Point(121.019444 14.508611),http://commons.wikimedia.org/wiki/Special:FilePath/Ninoy%20Aquino%20International%20Airport%20aerial%20view.jpg,Philippines,https://en.wikipedia.org/wiki/Ninoy_Aquino_International_Airport
Q385406,São Paulo-Guarulhos International Airport,airports,Point(-46.473055555 -23.435555555),http://commons.wikimedia.org/wiki/Special:FilePath/ViewfromAir-SaoPaulo.jpg,Brazil,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo/Guarulhos_International_Airport
Q580409,Bournemouth Airport,airports,Point(-1.8425 50.78),http://commons.wikimedia.org/wiki/Special:FilePath/Bournemouth%20Airport%20control%20tower%20geograph.org.uk%20130727%201e343629-by-Pierre-Terre.jpg,United Kingdom,https://en.wikipedia.org/wiki/Bournemouth_Airport
Q581545,John Paul II International Airport Kraków-Balice,airports,Point(19.784722222 50.077777777),http://commons.wikimedia.org/wiki/Special:FilePath/John%20Paul%20II%20Airport%20in%20Balice-Krak%C3%B3w%20night%20november%202017%283%29.jpg,Poland,https://en.wikipedia.org/wiki/Krak%C3%B3w_John_Paul_II_International_Airport
Q583424,Hermanos Serdán International Airport,airports,Point(-98.371388888 19.158055555),http://commons.wikimedia.org/wiki/Special:FilePath/Terminal%20AIP.JPG,Mexico,https://en.wikipedia.org/wiki/Puebla_International_Airport
Q583587,"Bocas del Toro ""Isla Colón"" International Airport",airports,Point(-82.250833333 9.340833333),http://commons.wikimedia.org/wiki/Special:FilePath/Aeropuerto%20de%20Bocas%20del%20Toro.jpg,Panama,https://en.wikipedia.org/wiki/Jos%C3%A9_Ezequiel_Hall_International_Airport
Q584102,Shannon Airport,airports,Point(-8.924722222 52.701944444),http://commons.wikimedia.org/wiki/Special:FilePath/Ryanair%20EI-DAD%20Boeing%20737-800%20Shannon%20NEIN%20zum%20Lufthansa%20Kerosinzuschlag.jpg,Ireland,https://en.wikipedia.org/wiki/Shannon_Airport
Q584102,Shannon Airport,airports,Point(-8.924722222 52.701944444),http://commons.wikimedia.org/wiki/Special:FilePath/Shannon%20Airport%202020-07-12%2001.jpg,Ireland,https://en.wikipedia.org/wiki/Shannon_Airport
Q586065,Entebbe International Airport,airports,Point(32.443055555 0.044722222),http://commons.wikimedia.org/wiki/Special:FilePath/Fly540%20ATR42%20at%20Entebbe.jpg,Uganda,https://en.wikipedia.org/wiki/Entebbe_International_Airport
